SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_WVU_R1_P120,WVU,1,120,01-01-028,S. purpurea,F,17.27,35.14,31.06,2.60,0.41,2.01,13,118,9.08,8.80,14.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0,673.5,64.8,NA
YR1_WVU_R2_P253,WVU,2,253,01-01-028,S. purpurea,F,19.45,40.32,27.12,1.61,0.46,2.17,15,143,9.53,11.46,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,744.0,49.4,NA
YR1_WVU_R3_P265,WVU,3,265,01-01-028,S. purpurea,F,17.60,42.10,27.41,1.69,0.47,1.82,14,108,7.71,6.85,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,800.3,55.9,NA
YR1_WVU_R4_P497,WVU,4,497,01-01-028,S. purpurea,F,18.01,39.52,28.64,1.93,0.54,2.17,12,60,5.00,2.50,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,292.0,47.5,NA
YR1_WVU_R5_P583,WVU,5,583,01-01-028,S. purpurea,F,NA,NA,NA,NA,NA,2.17,9,62,6.89,3.50,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,NA
YR1_WVU_R6_P700,WVU,6,700,01-01-028,S. purpurea,F,NA,NA,NA,NA,NA,1.37,8,53,6.63,2.84,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,NA
YR1_Geneva_R1_P111,Geneva,1,111,01-01-001,S. purpurea,M,17.61,37.93,28.27,1.92,0.42,2.03,24,180,7.50,11.03,21.75,7.82,0.0868,90.09,0.0111,6.67,1.37,14.06,4.86,0.5,31.8,861.3,39.2,46.4
YR1_Geneva_R2_P158,Geneva,2,158,01-01-001,S. purpurea,M,17.48,38.33,28.28,1.89,0.40,2.54,27,252,9.33,19.27,9.75,9.39,0.0846,110.99,0.0090,6.8,1.68,14.72,4.05,0.55,25.9,632.2,33.7,53.8
YR1_Geneva_R3_P354,Geneva,3,354,01-01-001,S. purpurea,M,16.77,37.23,29.54,2.25,0.57,2.47,32,264,8.25,18.63,10.50,9.67,0.1084,89.21,0.0112,7.19,1.67,15.3,4.31,0.52,25.9,554.3,37.9,53.1
YR1_Geneva_R4_P441,Geneva,4,441,01-01-001,S. purpurea,M,17.64,38.41,28.02,1.82,0.47,2.31,29,242,8.34,16.41,8.50,9.10,0.0975,93.33,0.0107,7.31,1.49,15.18,4.9,0.5,33.0,705.1,41.3,32.0
YR1_Geneva_R5_P527,Geneva,5,527,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,2.45,31,270,8.71,19.54,8.50,9.62,0.0984,97.76,0.0102,7.76,1.53,16,5.08,0.47,25.5,583.6,41.4,41.0
YR1_Geneva_R6_P717,Geneva,6,717,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,2.09,27,225,8.33,15.72,8.50,7.46,0.0812,91.87,0.0109,6.41,1.43,13.73,4.47,0.5,29.3,574.3,33.1,44.0
YR1_Portland_R1_P24,Portland,1,24,01-01-001,S. purpurea,M,16.77,34.11,31.90,2.49,0.48,1.64,4,29,7.25,1.72,18.00,9.08,0.067,135.52,0.0074,6.85,1.69,26.46,4.04,0.16,28.3,292.9,43.5,45.9
YR1_Portland_R2_P179,Portland,2,179,01-01-001,S. purpurea,M,19.45,43.16,25.84,1.16,0.47,1.98,9,72,8.00,4.70,10.00,11.21,0.0737,152.10,0.0066,7.98,1.69,39.35,4.72,0.09,27.2,305.6,53.5,71.4
YR1_Portland_R3_P338,Portland,3,338,01-01-001,S. purpurea,M,17.86,39.89,28.00,2.22,0.49,1.49,10,58,5.80,2.87,13.00,7.72,0.1147,67.31,0.0149,6.01,1.65,19,3.65,0.27,30.3,572.8,35.7,30.8
YR1_Portland_R4_P488,Portland,4,488,01-01-001,S. purpurea,M,17.75,38.13,29.08,1.97,0.48,1.67,9,67,7.44,3.97,14.50,11.01,0.0824,133.62,0.0075,7.99,1.61,16.53,4.96,0.51,31.6,469.0,56.4,58.8
YR1_Portland_R5_P593,Portland,5,593,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,1.57,6,31,5.17,1.69,11.00,9.59,0.0874,109.73,0.0091,7.61,1.56,15.78,4.87,0.48,32.8,804.3,51.3,69.7
YR1_Portland_R6_P684,Portland,6,684,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,1.86,10,80,8.00,5.39,12.75,8.97,0.0785,114.27,0.0088,7.29,1.43,15.73,5.08,0.46,32.1,776.1,34.6,54.2
YR1_WVU_R1_P115,WVU,1,115,01-01-001,S. purpurea,M,17.25,35.42,30.72,2.10,0.56,1.51,7,47,6.71,2.62,14.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,596.9,53.5,NA
YR1_WVU_R2_P201,WVU,2,201,01-01-001,S. purpurea,M,15.89,32.30,33.55,2.70,0.52,1.01,23,120,5.22,5.03,9.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,504.6,47.3,NA
YR1_WVU_R3_P301,WVU,3,301,01-01-001,S. purpurea,M,16.28,34.12,31.32,2.22,0.40,1.18,13,120,9.23,9.17,18.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,772.9,53.4,NA
YR1_WVU_R4_P431,WVU,4,431,01-01-001,S. purpurea,M,17.74,42.16,27.77,1.98,0.47,2.36,7,64,9.14,4.96,16.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,253.8,62.8,NA
YR1_WVU_R5_P593,WVU,5,593,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,1.09,11,68,6.18,3.44,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA
YR1_WVU_R6_P764,WVU,6,764,01-01-001,S. purpurea,M,NA,NA,NA,NA,NA,1.17,7,41,5.86,1.91,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA
YR1_Geneva_R1_P113,Geneva,1,113,00-01-106,S. purpurea,F,16.53,36.09,29.85,3.05,0.47,1.85,22,172,7.82,10.82,13.00,9.66,0.0923,104.66,0.0096,8.98,1.39,18.4,6.45,0.36,31.8,589.6,32.5,31.9
YR1_Geneva_R2_P166,Geneva,2,166,00-01-106,S. purpurea,F,17.32,37.52,28.18,2.61,0.53,2.22,26,223,8.58,15.79,31.25,6.69,0.0819,81.68,0.0122,6.43,1.29,15.17,5,0.37,24.8,647.8,38.2,44.9
YR1_Geneva_R3_P353,Geneva,3,353,00-01-106,S. purpurea,F,16.91,37.81,28.80,2.44,0.48,2.27,20,155,7.75,9.84,22.75,9.99,0.1326,75.34,0.0133,8.17,1.57,17.45,5.19,0.41,25.5,538.0,44.3,34.1
YR1_Geneva_R4_P510,Geneva,4,510,00-01-106,S. purpurea,F,16.73,34.04,30.52,2.62,0.56,2.16,14,100,7.14,5.95,27.75,12.05,0.1051,114.65,0.0087,9.21,1.59,19.34,5.78,0.4,31.1,570.7,47.8,37.7
YR1_Geneva_R5_P541,Geneva,5,541,00-01-106,S. purpurea,F,NA,NA,NA,NA,NA,2.14,17,144,8.47,10.19,26.25,11.66,0.1277,91.31,0.0110,9.6,1.5,19.79,6.4,0.37,31.4,810.4,35.5,40.5
YR1_Geneva_R6_P739,Geneva,6,739,00-01-106,S. purpurea,F,NA,NA,NA,NA,NA,1.94,29,188,6.48,9.96,12.00,8.76,0.0704,124.43,0.0080,8.1,1.27,16.51,6.4,0.4,29.6,725.8,30.7,49.2
YR1_Portland_R1_P72,Portland,1,72,00-01-106,S. purpurea,F,16.78,37.36,30.04,2.42,0.44,1.75,10,63,6.30,3.15,18.75,8.87,0.0833,106.48,0.0094,6.35,1.66,67.45,3.82,0.02,32.7,339.7,49.8,54.1
YR1_Portland_R2_P226,Portland,2,226,00-01-106,S. purpurea,F,16.65,33.36,31.72,2.59,0.43,0.31,5,15,3.00,0.35,13.50,3.77,0.0183,206.01,0.0049,3.79,1.2,17.11,3.16,0.16,25.9,63.4,23.7,25.0
YR1_Portland_R3_P379,Portland,3,379,00-01-106,S. purpurea,F,17.59,41.24,28.00,1.90,0.47,1.62,11,69,6.27,3.59,27.00,10.84,0.0374,289.84,0.0035,8.29,1.68,30.5,4.93,0.15,35.0,604.7,47.2,51.0
YR1_Portland_R4_P511,Portland,4,511,00-01-106,S. purpurea,F,16.52,38.07,29.92,1.97,0.45,1.53,13,82,6.31,4.15,22.00,6.71,0.0592,113.34,0.0088,6.77,1.17,14.47,5.77,0.4,28.6,479.6,55.0,54.4
YR1_Portland_R5_P537,Portland,5,537,00-01-106,S. purpurea,F,16.65,33.36,31.72,2.59,0.43,1.36,12,89,7.42,5.38,23.00,6.06,0.0474,127.85,0.0078,3.99,1.89,9.7,2.11,0.81,29.6,1164.2,52.5,39.8
YR1_Portland_R6_P776,Portland,6,776,00-01-106,S. purpurea,F,NA,NA,NA,NA,NA,1.51,15,108,7.20,6.39,24.50,5.50,0.0476,115.55,0.0087,5.88,1.19,12.23,4.96,0.46,33.0,820.0,47.0,42.6
YR1_WVU_R1_P100,WVU,1,100,00-01-106,S. purpurea,F,15.96,32.78,32.62,2.99,0.50,1.17,12,57,4.75,2.19,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,526.2,43.8,NA
YR1_WVU_R2_P256,WVU,2,256,00-01-106,S. purpurea,F,18.42,37.50,28.90,2.26,0.51,2.05,27,245,9.07,18.06,30.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,875.7,53.3,NA
YR1_WVU_R3_P340,WVU,3,340,00-01-106,S. purpurea,F,17.09,33.83,31.55,3.20,0.41,1.09,11,79,7.18,4.64,28.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,751.8,44.0,NA
YR1_WVU_R4_P493,WVU,4,493,00-01-106,S. purpurea,F,17.27,36.51,31.53,2.24,0.49,2.30,5,25,5.00,1.28,22.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,276.7,42.1,NA
YR1_WVU_R5_P621,WVU,5,621,00-01-106,S. purpurea,F,NA,NA,NA,NA,NA,1.50,9,58,6.44,3.09,24.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,NA
YR1_WVU_R6_P697,WVU,6,697,00-01-106,S. purpurea,F,NA,NA,NA,NA,NA,1.26,9,56,6.22,2.86,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,NA
YR1_Geneva_R1_P66,Geneva,1,66,00-01-105,S. purpurea,M,17.75,40.25,26.98,1.75,0.46,2.17,16,129,8.06,8.52,8.00,6.35,0.0667,95.20,0.0105,6.76,1.2,14.94,5.64,0.36,31.6,435.1,38.4,37.3
YR1_Geneva_R2_P179,Geneva,2,179,00-01-105,S. purpurea,M,18.56,39.59,26.34,1.74,0.50,2.51,39,315,8.08,20.84,9.50,10.90,0.0868,125.58,0.0080,9.17,1.57,18.66,5.85,0.39,28.0,723.2,35.1,40.9
YR1_Geneva_R3_P340,Geneva,3,340,00-01-105,S. purpurea,M,18.25,38.53,27.68,1.82,0.49,2.11,17,131,7.71,8.35,6.75,6.81,0.0679,100.29,0.0100,8.38,1.02,16.92,8.18,0.3,27.0,792.9,36.2,29.7
YR1_Geneva_R4_P454,Geneva,4,454,00-01-105,S. purpurea,M,18.36,40.01,26.74,1.68,0.47,2.10,18,149,8.28,10.01,8.50,6.75,0.0899,75.08,0.0133,7.25,1.21,14.57,5.98,0.4,29.1,493.4,29.8,33.6
YR1_Geneva_R5_P571,Geneva,5,571,00-01-105,S. purpurea,M,NA,NA,NA,NA,NA,2.90,37,319,8.62,22.55,12.25,7.44,0.119,62.52,0.0160,7.5,1.29,15.22,5.83,0.4,28.1,583.3,41.8,34.6
YR1_Geneva_R6_P707,Geneva,6,707,00-01-105,S. purpurea,M,NA,NA,NA,NA,NA,2.58,27,228,8.44,15.97,11.25,11.45,0.0773,148.12,0.0068,9.43,1.55,19.31,6.09,0.39,26.9,562.3,31.0,30.0
YR1_Portland_R1_P82,Portland,1,82,00-01-105,S. purpurea,M,17.06,37.16,29.85,1.98,0.43,1.63,13,85,6.54,4.50,9.50,10.73,0.0454,236.34,0.0042,7.59,1.96,135,3.87,0.01,33.1,353.9,39.3,34.4
YR1_Portland_R2_P180,Portland,2,180,00-01-105,S. purpurea,M,17.82,45.21,25.88,1.09,0.42,2.08,11,87,7.91,5.74,10.00,9.24,0.0571,161.82,0.0062,7.67,8.4,33.88,0.91,0.1,27.2,350.8,44.0,27.7
YR1_Portland_R3_P334,Portland,3,334,00-01-105,S. purpurea,M,18.61,40.33,27.64,1.31,0.45,1.57,13,68,5.23,2.94,11.50,5.28,0.0535,98.69,0.0101,6.65,1.13,26.51,5.88,0.09,30.4,590.1,43.4,35.5
YR1_Portland_R4_P463,Portland,4,463,00-01-105,S. purpurea,M,16.35,33.75,31.64,2.43,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,522.8,36.3,45.1
YR1_Portland_R5_P525,Portland,5,525,00-01-105,S. purpurea,M,16.35,33.75,31.64,2.43,0.54,1.24,22,120,5.45,5.48,11.50,3.07,0.0229,134.06,0.0075,4.59,0.84,9.16,5.49,0.46,27.2,294.6,31.1,44.3
YR1_Portland_R6_P680,Portland,6,680,00-01-105,S. purpurea,M,NA,NA,NA,NA,NA,1.84,13,92,7.08,5.28,11.00,10.20,0.0895,113.97,0.0088,9.23,1.38,18.56,6.67,0.37,31.6,738.0,45.6,63.5
YR1_WVU_R1_P124,WVU,1,124,00-01-105,S. purpurea,M,16.88,34.84,30.25,2.45,0.45,2.06,29,235,8.10,15.59,20.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,684.1,44.3,NA
YR1_WVU_R2_P239,WVU,2,239,00-01-105,S. purpurea,M,17.40,38.07,29.18,2.13,0.57,2.17,10,89,8.90,6.46,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,944.3,54.7,NA
YR1_WVU_R3_P327,WVU,3,327,00-01-105,S. purpurea,M,16.56,35.78,31.13,2.75,0.58,1.68,16,106,6.63,5.84,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0,701.6,50.8,NA
YR1_WVU_R4_P419,WVU,4,419,00-01-105,S. purpurea,M,17.15,33.61,31.10,2.26,0.43,2.72,24,168,7.00,10.30,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,246.9,52.6,NA
YR1_WVU_R5_P549,WVU,5,549,00-01-105,S. purpurea,M,NA,NA,NA,NA,NA,1.81,10,39,3.90,1.26,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA
YR1_WVU_R6_P664,WVU,6,664,00-01-105,S. purpurea,M,NA,NA,NA,NA,NA,1.83,8,57,7.13,3.37,19.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,NA
YR1_Geneva_R1_P107,Geneva,1,107,00-01-104,S. purpurea,F,18.63,37.89,26.92,1.90,0.42,2.75,31,291,9.39,22.66,10.00,13.83,0.1344,102.90,0.0097,8.56,1.98,18.44,4.33,0.51,30.5,733.8,40.5,36.7
YR1_Geneva_R2_P220,Geneva,2,220,00-01-104,S. purpurea,F,17.58,34.80,29.90,2.79,0.35,2.16,21,149,7.10,8.71,9.50,7.00,0.089,78.65,0.0127,6.18,1.55,12.99,3.98,0.52,30.5,835.4,44.4,41.9
YR1_Geneva_R3_P281,Geneva,3,281,00-01-104,S. purpurea,F,18.60,37.80,27.80,1.73,0.41,2.30,31,204,6.58,11.20,9.50,8.95,0.0925,96.76,0.0103,7,1.66,14.89,4.21,0.51,28.5,624.1,36.0,35.3
YR1_Geneva_R4_P485,Geneva,4,485,00-01-104,S. purpurea,F,18.45,38.27,26.93,2.07,0.35,2.80,35,304,8.69,22.73,8.00,12.21,0.1324,92.22,0.0108,8.7,1.73,18.2,5.03,0.46,31.6,599.8,47.4,43.2
YR1_Geneva_R5_P582,Geneva,5,582,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,2.52,17,143,8.41,9.89,8.00,9.08,0.0954,95.18,0.0105,7.75,1.54,16.11,5.03,0.44,27.5,227.5,44.5,32.7
YR1_Geneva_R6_P737,Geneva,6,737,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,2.29,27,215,7.96,14.07,8.50,13.22,0.1143,115.66,0.0086,8.92,1.87,18.98,4.77,0.46,30.0,657.3,43.8,40.2
YR1_Portland_R1_P106,Portland,1,106,00-01-104,S. purpurea,F,18.94,41.34,26.88,1.47,0.39,1.85,28,221,7.89,14.04,16.50,22.61,0.0564,400.89,0.0025,6.04,4.22,109.22,1.43,0.02,31.6,402.6,45.6,42.9
YR1_Portland_R2_P186,Portland,2,186,00-01-104,S. purpurea,F,16.96,37.08,30.82,1.87,0.47,1.49,8,43,5.38,1.91,10.00,4.14,0.0235,176.17,0.0057,4.51,1.24,20.2,3.64,0.13,29.0,391.2,48.6,33.5
YR1_Portland_R3_P282,Portland,3,282,00-01-104,S. purpurea,F,17.90,36.68,29.63,1.94,0.46,1.57,15,77,5.13,3.23,11.00,4.55,0.0244,186.48,0.0054,4.66,1.29,25.95,3.62,0.08,27.4,537.0,41.6,42.3
YR1_Portland_R4_P508,Portland,4,508,00-01-104,S. purpurea,F,17.63,37.94,29.35,1.69,0.42,1.73,16,98,6.13,5.04,17.00,7.00,0.0563,124.33,0.0080,5.85,1.4,12.54,4.18,0.56,29.1,482.4,48.3,41.5
YR1_Portland_R5_P597,Portland,5,597,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,1.61,7,42,6.00,2.07,10.75,6.48,0.0545,118.90,0.0084,5.74,1.45,12.01,3.97,0.56,30.7,769.9,55.2,50.1
YR1_Portland_R6_P724,Portland,6,724,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,1.88,16,103,6.44,5.44,9.75,4.45,0.0367,121.25,0.0082,4.46,1.24,9.21,3.6,0.66,32.6,445.8,47.3,52.0
YR1_WVU_R1_P96,WVU,1,96,00-01-104,S. purpurea,F,17.09,35.60,30.26,2.69,0.40,2.39,22,184,8.36,12.61,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,732.3,61.5,NA
YR1_WVU_R2_P216,WVU,2,216,00-01-104,S. purpurea,F,19.65,41.39,26.55,1.52,0.51,2.40,12,109,9.08,7.92,13.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,684.4,58.7,NA
YR1_WVU_R3_P342,WVU,3,342,00-01-104,S. purpurea,F,17.28,34.66,31.49,2.85,0.35,1.54,5,46,9.20,3.35,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,622.9,58.5,NA
YR1_WVU_R4_P502,WVU,4,502,00-01-104,S. purpurea,F,18.57,39.86,27.99,1.97,0.43,1.89,27,187,6.93,11.36,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,285.2,55.0,NA
YR1_WVU_R5_P637,WVU,5,637,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,1.57,6,36,6.00,1.82,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA
YR1_WVU_R6_P684,WVU,6,684,00-01-104,S. purpurea,F,NA,NA,NA,NA,NA,1.93,11,80,7.27,4.70,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0,NA
YR1_Geneva_R1_P118,Geneva,1,118,00-01-103,S. purpurea,F,18.04,40.48,26.41,2.47,0.53,1.73,24,157,6.54,8.43,23.00,3.99,0.0557,71.63,0.0140,4.64,1.06,9.34,4.36,0.57,31.4,1019.3,43.2,37.6
YR1_Geneva_R2_P257,Geneva,2,257,00-01-103,S. purpurea,F,16.54,34.52,30.90,3.33,0.50,1.43,17,90,5.29,4.52,19.00,6.21,0.0644,96.43,0.0104,5.85,1.31,12.8,4.48,0.48,30.5,849.2,38.7,45.7
YR1_Geneva_R3_P284,Geneva,3,284,00-01-103,S. purpurea,F,18.03,36.93,28.51,2.43,0.64,1.87,30,228,7.60,14.58,9.75,5.06,0.049,103.27,0.0097,5.45,1.19,11.23,4.59,0.5,27.3,846.9,50.0,42.3
YR1_Geneva_R4_P452,Geneva,4,452,00-01-103,S. purpurea,F,17.56,37.95,27.07,2.67,0.43,1.27,16,99,6.19,5.11,15.25,4.73,0.0495,95.56,0.0105,5.61,1.04,11.34,5.37,0.46,29.7,732.1,44.9,36.5
YR1_Geneva_R5_P523,Geneva,5,523,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.67,21,148,7.05,8.70,14.50,4.89,0.0698,70.06,0.0143,5.43,1.11,11.45,4.88,0.47,25.3,569.4,48.4,39.7
YR1_Geneva_R6_P749,Geneva,6,749,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.86,22,219,9.95,17.60,10.00,8.22,0.0674,121.96,0.0082,6.64,1.49,15.5,4.44,0.43,27.1,905.6,22.4,50.8
YR1_Portland_R1_P126,Portland,1,126,00-01-103,S. purpurea,F,18.88,41.86,26.92,1.47,0.40,1.03,9,54,6.00,2.76,18.00,50.55,0.0295,1713.56,0.0006,9.99,5.85,118.12,1.71,0.05,35.4,427.3,47.4,54.2
YR1_Portland_R2_P136,Portland,2,136,00-01-103,S. purpurea,F,16.69,34.93,31.14,2.76,0.55,1.32,12,83,6.92,4.83,20.00,15.64,0.0361,433.24,0.0023,5.22,3.54,105.67,1.48,0.02,32.2,535.7,47.5,48.2
YR1_Portland_R3_P378,Portland,3,378,00-01-103,S. purpurea,F,17.50,40.10,28.23,2.24,0.41,1.23,8,33,4.13,1.17,22.00,4.00,0.0457,87.53,0.0114,4.88,1.04,19.29,4.67,0.14,35.4,530.5,48.7,45.0
YR1_Portland_R4_P436,Portland,4,436,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.13,16,93,5.81,4.59,20.50,2.83,0.0198,142.93,0.0070,3.25,1.19,13.66,2.74,0.19,33.0,664.7,35.9,NA
YR1_Portland_R5_P596,Portland,5,596,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.06,6,35,5.83,1.66,19.50,3.59,0.0381,94.23,0.0106,4.18,1.02,8.38,4.09,0.64,30.6,842.8,44.9,54.0
YR1_Portland_R6_P769,Portland,6,769,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.47,35,229,6.54,12.29,10.75,4.88,0.0383,127.42,0.0078,4.71,1.2,10.37,3.93,0.57,33.8,927.5,33.9,58.2
YR1_WVU_R1_P113,WVU,1,113,00-01-103,S. purpurea,F,16.55,32.86,32.15,2.73,0.59,1.07,10,51,5.10,2.07,17.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,854.8,52.3,NA
YR1_WVU_R2_P219,WVU,2,219,00-01-103,S. purpurea,F,17.16,34.92,30.18,2.45,0.47,1.56,33,219,6.64,12.20,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,848.0,55.6,NA
YR1_WVU_R3_P271,WVU,3,271,00-01-103,S. purpurea,F,17.83,37.30,28.77,2.51,0.49,2.59,30,195,6.50,11.02,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,872.7,64.9,NA
YR1_WVU_R4_P508,WVU,4,508,00-01-103,S. purpurea,F,16.97,40.75,27.79,2.90,0.52,1.84,33,193,5.85,9.48,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,367.9,52.5,NA
YR1_WVU_R5_P522,WVU,5,522,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.92,29,231,7.97,16.34,23.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,NA
YR1_WVU_R6_P745,WVU,6,745,00-01-103,S. purpurea,F,NA,NA,NA,NA,NA,1.01,2,19,9.50,1.42,17.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA
YR1_Geneva_R1_P121,Geneva,1,121,00-01-102,S. purpurea,M,17.20,36.89,27.95,3.29,0.43,1.33,4,33,8.25,2.18,5.50,6.84,0.072,95.00,0.0105,6.21,1.43,13.42,4.35,0.48,31.3,812.4,58.5,40.4
YR1_Geneva_R2_P258,Geneva,2,258,00-01-102,S. purpurea,M,16.25,33.56,30.25,3.81,0.43,1.59,12,73,6.08,3.60,8.25,5.35,0.1036,51.64,0.0194,5.79,1.16,12.01,4.99,0.47,30.4,807.1,45.7,51.7
YR1_Geneva_R3_P264,Geneva,3,264,00-01-102,S. purpurea,M,17.01,34.51,29.75,2.99,0.49,1.92,18,134,7.44,8.06,8.50,9.33,0.0752,124.07,0.0081,6.49,1.83,14.62,3.55,0.55,30.5,953.2,38.5,41.3
YR1_Geneva_R4_P505,Geneva,4,505,00-01-102,S. purpurea,M,17.40,36.10,28.87,2.68,0.40,2.13,22,200,9.09,14.84,8.50,9.83,0.0881,111.58,0.0090,7.71,1.6,15.98,4.82,0.48,30.4,531.0,48.4,51.5
YR1_Geneva_R5_P595,Geneva,5,595,00-01-102,S. purpurea,M,NA,NA,NA,NA,NA,2.01,21,193,9.19,14.96,8.50,9.43,0.0788,119.67,0.0084,6.91,1.65,14.97,4.17,0.53,32.2,680.4,39.0,40.4
YR1_Geneva_R6_P761,Geneva,6,761,00-01-102,S. purpurea,M,NA,NA,NA,NA,NA,1.90,20,143,7.15,8.40,8.50,4.47,0.0463,96.54,0.0104,5.09,1.11,10.97,4.58,0.47,25.9,579.1,39.0,29.8
YR1_Portland_R1_P102,Portland,1,102,00-01-102,S. purpurea,M,17.85,40.89,27.05,2.14,0.48,0.22,4,17,4.25,1.09,7.75,8.67,0.0218,397.71,0.0025,2.66,3.93,42.33,0.68,0.06,31.8,72.8,17.9,20.0
YR1_Portland_R2_P213,Portland,2,213,00-01-102,S. purpurea,M,17.92,41.58,27.03,1.92,0.51,1.38,6,40,6.67,2.25,8.00,4.19,0.0383,109.40,0.0091,3.69,1.19,22.96,3.09,0.1,25.6,230.2,37.4,30.2
YR1_Portland_R3_P304,Portland,3,304,00-01-102,S. purpurea,M,17.21,34.28,31.45,2.29,0.37,1.40,5,22,4.40,0.82,11.50,5.15,0.0498,103.41,0.0097,4.97,1.42,26.3,3.5,0.09,28.2,553.4,48.0,46.2
YR1_Portland_R4_P434,Portland,4,434,00-01-102,S. purpurea,M,17.63,37.67,28.57,2.12,0.37,0.97,2,18,9.00,1.29,9.00,3.43,0.0221,155.20,0.0064,3.74,1.15,15.15,3.27,0.19,31.6,645.3,41.8,40.4
YR1_Portland_R5_P556,Portland,5,556,00-01-102,S. purpurea,M,17.85,40.89,27.05,2.14,0.48,1.84,13,99,7.62,6.10,8.50,10.60,0.0953,111.23,0.0090,7.91,1.74,16.71,4.54,0.48,31.1,698.5,53.1,50.0
YR1_Portland_R6_P762,Portland,6,762,00-01-102,S. purpurea,M,NA,NA,NA,NA,NA,1.27,8,47,5.88,2.22,9.75,6.98,0.0698,100.00,0.0100,5.77,1.54,13.07,3.74,0.51,34.8,649.7,39.8,39.3
YR1_WVU_R1_P90,WVU,1,90,00-01-102,S. purpurea,M,18.09,39.81,26.78,2.66,0.45,1.52,10,69,6.90,3.98,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,814.5,60.0,NA
YR1_WVU_R2_P176,WVU,2,176,00-01-102,S. purpurea,M,16.14,31.95,31.44,3.17,0.32,1.56,13,103,7.92,6.72,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,713.5,48.8,NA
