SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_WVU_R6_P703,WVU,6,703,05-01-001,S. purpurea,M,NA,NA,NA,NA,NA,0.71,2,9,4.50,0.35,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,NA
YR1_Geneva_R1_P130,Geneva,1,130,04-BN-046,S. purpurea,F,18.21,39.65,27.34,1.79,0.51,1.89,24,172,7.17,10.54,21.50,5.17,0.05,103.40,0.0097,5,1.28,10.59,3.9,0.58,30.5,871.9,36.6,46.2
YR1_Geneva_R2_P181,Geneva,2,181,04-BN-046,S. purpurea,F,17.30,36.78,29.38,2.38,0.70,2.13,33,252,7.64,16.43,10.25,5.57,0.0481,115.80,0.0086,5.09,1.33,13,3.84,0.41,27.1,768.0,38.7,37.3
YR1_Geneva_R3_P291,Geneva,3,291,04-BN-046,S. purpurea,F,17.31,37.35,28.61,2.31,0.44,2.09,37,304,8.22,21.83,9.00,5.39,0.0595,90.59,0.0110,4.58,1.59,12.84,2.87,0.41,28.2,1157.2,41.7,41.7
YR1_Geneva_R4_P490,Geneva,4,490,04-BN-046,S. purpurea,F,16.63,35.68,29.97,2.77,0.48,2.01,27,203,7.52,12.56,8.50,5.07,0.053,95.66,0.0105,5.13,1.2,10.88,4.28,0.54,31.0,820.2,42.7,35.0
YR1_Geneva_R5_P534,Geneva,5,534,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,2.07,21,144,6.86,8.22,9.00,5.81,0.0521,111.52,0.0090,5.1,1.36,10.86,3.75,0.62,29.3,637.0,32.7,26.3
YR1_Geneva_R6_P763,Geneva,6,763,04-BN-046,S. purpurea,F,NA,NA,NA,NA,NA,1.97,22,152,6.91,8.72,9.00,5.44,0.0375,145.07,0.0069,5.13,1.28,11.63,4,0.51,25.8,804.5,48.0,48.0
YR1_Portland_R1_P41,Portland,1,41,04-BN-046,S. purpurea,F,16.01,34.12,32.70,2.14,0.58,1.42,9,51,5.67,2.38,20.25,12.68,0.0275,461.09,0.0022,8.36,2.05,89.35,4.08,0.02,29.1,241.9,46.1,36.7
YR1_Portland_R2_P254,Portland,2,254,04-BN-046,S. purpurea,F,16.77,37.62,30.64,1.96,0.53,1.04,15,71,4.73,2.80,9.50,3.81,0.0328,116.16,0.0086,3.39,1.29,17.23,2.63,0.16,24.9,295.2,40.6,29.8
YR1_Portland_R3_P266,Portland,3,266,04-BN-046,S. purpurea,F,15.51,30.95,34.48,2.56,0.47,1.46,21,98,4.67,3.82,9.75,4.48,0.0184,243.48,0.0041,4.81,1.25,10.19,3.85,0.54,30.0,579.4,41.9,35.5
