SID,Location,Replicate,Plot,Clone,Species,Gender,CDIA,CFOR,VPH,FPH,HEMI,CELL,LIG,ASH,SPGR,HT,Sno,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD,YLD
YR2_Portland_R4_P492,Portland,4,492,07-MBG-5095,S. purpurea,F,30.7,44.8,NA,NA,16.7902,43.0310,28.1413,1.1856,0.53,2.72,13,120,9.23,9.82,20.50,3.48,0.0358,97.21,0.01029,3.31,1.15,6.24,2.87,1.12,29.3,536.6,37.8,47.1,0.95
YR2_Portland_R5_P642,Portland,5,642,07-MBG-5095,S. purpurea,F,30.6,44.9,NA,NA,NA,NA,NA,NA,NA,2.81,12,136,11.33,13.26,16.00,2.53,0.0355,71.27,0.01403,3.13,0.99,7.81,3.16,0.52,30.5,592.3,47.6,46.1,1.19
YR2_Portland_R6_P726,Portland,6,726,07-MBG-5095,S. purpurea,F,19.1,57.9,NA,NA,NA,NA,NA,NA,NA,2.78,15,156,10.40,14.20,13.50,4.2,0.0432,97.22,0.01029,5.28,1.21,9.59,4.36,0.57,27.0,306.2,47.6,52.4,1.79
YR2_WVU_R1_P26,WVU,1,26,07-MBG-5095,S. purpurea,F,40,37.3,108,81,16.6514,43.6886,27.0792,1.7368,0.54,3.46,22,213,9.68,19.99,NA,4.88,0.0591,82.57,0.01211,4.94,1.2,10.91,4.12,0.52,33.9,681.2,NA,47.5,4.59
YR2_WVU_R2_P184,WVU,2,184,07-MBG-5095,S. purpurea,F,62,26.2,108,81,16.8188,41.5749,27.7205,1.3659,0.44,3.11,44,350,7.95,24.68,NA,11.22,0.1317,85.19,0.01174,8.2,1.76,30.75,4.65,0.15,34.9,857.5,NA,30.8,4.94
YR2_WVU_R3_P275,WVU,3,275,07-MBG-5095,S. purpurea,F,51,30.9,115,102,17.2146,42.4803,27.2494,2.1336,0.51,3.54,21,207,9.86,18.54,NA,3.28,0.0456,71.93,0.01390,3.78,1.09,9.05,3.46,0.5,31.6,589.1,NA,29.0,2.24
YR2_WVU_R4_P467,WVU,4,467,07-MBG-5095,S. purpurea,F,18,59.4,108,74,16.5949,44.6976,26.7852,1.3497,0.53,2.67,10,92,9.20,7.48,NA,2.3,0.0322,71.43,0.01400,3.06,3.04,13.83,1.01,0.15,26.3,184.8,NA,43.8,8.12
YR2_WVU_R5_P594,WVU,5,594,07-MBG-5095,S. purpurea,F,14,65.3,108,81,NA,NA,NA,NA,NA,2.67,9,87,9.67,7.14,NA,3.46,0.0366,94.54,0.01058,3.55,1.21,16.88,2.94,0.15,31.3,733.3,NA,NA,2.00
YR2_WVU_R6_P689,WVU,6,689,07-MBG-5095,S. purpurea,F,30,45.5,108,81,NA,NA,NA,NA,NA,3.16,13,133,10.23,12.94,NA,19.23,0.0611,314.73,0.00318,9.69,2.36,26.51,4.11,0.34,32.5,655.5,NA,NA,1.41
YR2_Geneva_R1_P34,Geneva,1,34,05X-293-047,S. purpurea,M,26.4,49.1,111,91,19.1850,42.0399,25.5665,1.5852,0.45,4.34,20,269,13.45,30.97,7.30,7.21,0.0675,106.81,0.00936,6.89,1.29,11.29,5.33,0.71,28.7,655.2,44.57,39.63,2.83
YR2_Geneva_R2_P259,Geneva,2,259,05X-293-047,S. purpurea,M,34.6,41.4,111,91,18.6823,41.3667,26.5177,1.8667,0.47,4.02,25,227,9.08,19.91,7.25,6.34,0.0779,81.39,0.01229,5.49,1.48,11.6,3.72,0.59,30.7,542.6,47.23,40.73,4.24
YR2_Geneva_R3_P313,Geneva,3,313,05X-293-047,S. purpurea,M,29.1,46.3,111,91,19.8897,42.2130,25.3845,1.2040,0.45,4.68,50,551,11.02,58.87,10.25,3.64,0.092,39.57,0.02527,2.94,12.5,7.06,0.24,0.92,26.9,411.5,48.30,37.80,8.09
YR2_Geneva_R4_P398,Geneva,4,398,05X-293-047,S. purpurea,M,24.3,51.4,111,103,18.4751,41.1310,27.0354,1.6393,0.46,4.24,53,603,11.38,65.46,7.30,9.44,0.0992,95.16,0.01051,7.05,1.84,15.16,3.83,0.52,25.9,389.2,43.30,38.87,6.17
YR2_Geneva_R5_P567,Geneva,5,567,05X-293-047,S. purpurea,M,31.5,44.1,111,103,NA,NA,NA,NA,NA,4.38,31,358,11.55,37.65,8.45,10.85,0.1248,86.94,0.01150,7.76,1.86,16.99,4.18,0.47,26.5,316.7,53.77,43.70,5.91
YR2_Geneva_R6_P702,Geneva,6,702,05X-293-047,S. purpurea,M,27.6,47.8,111.0,103,NA,NA,NA,NA,NA,4.31,42,421,10.02,44.43,8.10,11.5,0.1214,94.73,0.01056,8.11,1.82,16.41,4.47,0.54,22.7,208.1,50.97,37.87,5.78
YR2_Portland_R1_P130,Portland,1,130,05X-293-047,S. purpurea,M,7.9,75.5,NA,NA,17.1753,40.1142,28.9642,1.6036,0.49,3.34,21,215,10.24,19.33,17.25,7.07,0.0817,86.54,0.01156,5.42,25.32,14.79,0.21,0.41,33.9,548.8,50.2,55.0,2.89
YR2_Portland_R2_P244,Portland,2,244,05X-293-047,S. purpurea,M,19.6,57.3,NA,NA,18.7645,40.7722,27.1856,1.1543,0.49,3.43,14,110,7.86,8.58,15.00,6.53,0.0719,90.82,0.01101,5.29,1.59,35.28,3.32,0.07,30.9,497.4,56.7,55.0,2.17
YR2_Portland_R3_P326,Portland,3,326,05X-293-047,S. purpurea,M,28.2,47.2,NA,NA,18.4046,40.5565,27.7762,1.2538,0.48,3.37,27,281,10.41,25.77,15.00,7.55,0.0857,88.10,0.01135,6.39,1.63,13.31,3.93,0.54,26.2,348.5,53.4,52.3,3.73
YR2_Portland_R4_P476,Portland,4,476,05X-293-047,S. purpurea,M,22.6,53.5,NA,NA,19.4744,40.6053,26.8433,1.0039,0.47,3.90,27,290,10.74,28.40,12.00,8.99,0.0957,93.94,0.01065,7.34,1.69,15.66,4.34,0.46,29.6,439.0,47.8,53.9,4.45
YR2_Portland_R5_P568,Portland,5,568,05X-293-047,S. purpurea,M,28.0,47.4,NA,NA,NA,NA,NA,NA,NA,4.05,19,213,11.21,21.09,14.00,11.16,0.145,76.97,0.01299,6.51,2.17,15.4,3,0.59,30.9,294.4,54.2,59.9,2.65
YR2_Portland_R6_P725,Portland,6,725,05X-293-047,S. purpurea,M,14.1,65.2,NA,NA,NA,NA,NA,NA,NA,3.89,27,316,11.70,33.16,10.50,15.33,0.1678,91.36,0.01095,7.6,3.03,16.91,2.51,0.67,26.9,229.4,46.6,54.8,4.57
YR2_WVU_R1_P24,WVU,1,24,05X-293-047,S. purpurea,M,29,46.4,108,81,17.8310,42.9812,26.7868,1.3963,0.49,3.84,36,357,9.92,31.36,NA,11.78,0.1562,75.42,0.01326,7.37,2.01,16.64,3.67,0.53,34.5,622.3,NA,47.6,2.60
YR2_WVU_R2_P157,WVU,2,157,05X-293-047,S. purpurea,M,43,35.3,108,57,17.5963,43.0018,27.0136,1.4110,0.46,3.73,15,144,9.60,13.82,NA,9.91,0.1238,80.05,0.01249,6.64,1.8,32.67,3.68,0.12,32.0,591.3,NA,53.4,6.70
YR2_WVU_R3_P283,WVU,3,283,05X-293-047,S. purpurea,M,35,41.1,108,81,18.0274,42.3989,26.1569,1.9765,0.47,4.46,25,345,13.80,44.29,NA,5.32,0.0647,82.23,0.01216,4.92,1.45,12.24,3.39,0.45,32.3,787.6,NA,44.8,5.21
YR2_WVU_R4_P513,WVU,4,513,05X-293-047,S. purpurea,M,40,37.3,108,102,18.2237,41.3452,26.9603,1.6948,0.49,4.34,17,212,12.47,22.15,NA,7.68,0.0848,90.57,0.01104,6.23,1.6,25.52,3.89,0.15,24.5,152.3,NA,39.0,2.85
