REP,COL,ROW,PLOT,FAMILY,DAM,SIRE,TYPE,CLONE,SEX,STC.Y0,HT,HCL,CLS,LIG,ASH,CDIA,FORM,STN,SDIA,SA,LFW,LA,LFL,LFWT,LFP,SLA,SPAD1,RUST
1,4,151,976,317,9882-41,9882-34,progeny,10X-317-192,F,2,369,18.44751649,40.46004345,26.53809899,1.708905761,41.9,36.03387743,36,9.277777778,26.57787385,0.104,14.07,7.98,2.16,30.43,135.2884615,49.1,0.05
1,4,155,980,82,94006,94001,progeny,12X-082-097,M,2,365,18.73115205,41.12906617,26.03877642,1.527199386,31.1,44.4231539,28,8.107142857,16.75254283,0.0856,11.78,8.47,1.64,33.82,137.6168224,53.1,NA
1,4,157,982,317,9882-41,9882-34,progeny,11X-317-264,M,1,326,19.21785566,41.34560522,25.25699492,1.237028722,39.4,37.72568165,23,9.608695652,17.55364895,0.0651,10.18,8.27,1.57,27.69,156.374808,52,0.01
1,4,158,983,82,94006,94001,progeny,12X-082-040,F,1,389,20.19877033,41.38203076,24.12929414,1.221923421,54.6,29.17207897,6,9.666666667,4.665265091,0.2058,28.37,12.34,2.85,31.4,137.8522838,53.1,NA
1,4,159,984,317,9882-41,9882-34,progeny,11X-317-285,F,2,357,19.18659406,40.25362768,25.64582878,1.608366849,35.5,40.64910974,22,9.409090909,17.00387024,0.1076,15.64,9.12,2.02,28.98,145.3531599,52.6,0.11
1,4,162,987,317,9882-41,9882-34,progeny,11X-317-056,M,1,263,20.31473787,39.7010741,26.36057608,1.700955476,37.1,39.40527109,20,7.35,9.024224897,0.1412,15.36,8.11,2.14,28.83,108.7818697,61.3,0.11
1,4,163,988,82,94006,94001,progeny,12X-082-033,F,2,332,18.02405701,39.74126051,26.79506424,1.963167095,29.9,45.55035658,16,9.125,11.85951227,0.1033,14.37,8.02,2.18,18.92,139.1093901,43.2,NA
1,4,164,989,317,9882-41,9882-34,progeny,10X-317-134,M,2,358,18.91275362,41.23267064,25.16028244,1.458903617,43.3,35.14271424,41,8.87804878,27.96017462,0.1235,17.03,10.15,2.12,31.28,137.8947368,47,0.04
1,4,165,990,317,9882-41,9882-34,progeny,11X-317-167,F,2,351,18.88514025,40.11281364,25.83812145,1.854030736,29.4,46.03327878,27,9.148148148,20.19258678,0.1621,22.71,10.92,2.58,23.17,140.0987045,48.5,0.01
1,4,167,992,317,9882-41,9882-34,progeny,10X-317-063,F,2,386,19.59612206,42.77049108,24.22718115,1.453692611,41.1,36.56084742,24,9.458333333,19.21869306,0.0991,14.51,9.05,1.81,20.09,146.4177598,52,0.16
1,4,169,994,317,9882-41,9882-34,progeny,11X-317-207,F,2,290,18.56861355,42.82146356,25.01623324,1.563161734,31.4,44.14821859,18,9.388888889,13.7680298,0.121,12.85,9.16,1.79,24.7,106.1983471,59.7,0.09
1,4,174,999,317,9882-41,9882-34,progeny,10X-317-070,M,2,347,18.24166222,39.30650279,27.15093529,2.08488374,20.7,55.81824635,16,7.125,7.021459581,0.1063,13.74,10.19,1.75,20.53,129.2568203,47.2,0.01
1,4,175,1000,317,9882-41,9882-34,progeny,10X-317-105,M,1,404,18.87244368,41.9773207,25.41916533,1.380892218,48.5,32.14745609,43,10.13953488,37.69911184,0.1229,17.05,9.01,2.33,55.7,138.7306753,45.1,0.01
1,4,176,1001,317,9882-41,9882-34,progeny,11X-317-116,M,2,381,19.03877608,42.66895681,24.49662123,1.356328933,54.4,29.26165337,37,8.378378378,22.88650248,0.108,14.81,9.33,1.91,30.32,137.1296296,58.3,0.08
1,4,177,1002,317,9882-41,9882-34,progeny,11X-317-198,M,2,418,19.54899283,42.65093728,24.67441105,1.336944977,49.9,31.41748848,29,10.20689655,25.96526328,0.1145,15.59,8.73,2.22,18.66,136.1572052,56.3,0.12
1,4,179,1004,317,9882-41,9882-34,progeny,10X-317-155,M,2,362,18.75611053,40.26057028,26.07750448,1.728081726,21.9,54.30260571,15,9.4,11.85165829,0.1916,19.94,9.74,2.51,22.26,104.0709812,53.2,0.19
1,4,180,1005,317,9882-41,9882-34,progeny,10X-317-136,F,1,326,20.22588509,41.06739474,23.49848952,1.475908855,12.7,67.38013505,19,8.578947368,12.13440162,0.1378,17.76,9.14,2.36,32.78,128.8824383,52.8,0.1
1,4,181,1006,317,9882-41,9882-34,progeny,10X-317-205,F,2,370,20.56476685,39.84762435,24.5158248,1.316742228,22.4,53.68753101,12,9.25,9.888162877,0.12,15.35,7.93,2.3,31.95,127.9166667,54.2,0.12
1,4,182,1007,317,9882-41,9882-34,progeny,11X-317-266,M,1,312,21.06283996,40.23097028,24.07119747,1.401518744,28.8,46.62333253,31,9.580645161,24.8892678,0.1002,14.41,7.71,5.49,21.19,143.8123752,54.6,0.17
1,4,185,1010,317,9882-41,9882-34,progeny,10X-317-075,F,1,366,20.79084209,41.31183099,24.28824639,1.212008062,37.3,39.25425711,24,9.833333333,20.27898058,0.1116,16.83,9.43,2.15,20.75,150.8064516,58.3,0.14
1,4,187,1012,317,9882-41,9882-34,progeny,10X-317-152,F,2,286,20.36013951,41.08864359,23.6772008,1.418135883,42.7,35.51990379,28,9.035714286,20.03550715,0.1284,18.58,9.22,2.47,20.4,144.7040498,56.8,0.005
1,4,191,1016,317,9882-41,9882-34,progeny,11X-317-222,M,1,305,19.54604806,41.31562946,25.15767407,1.163871586,35.8,40.41096148,15,7.6,7.524114405,0.1216,15.89,8.44,2.25,24.37,130.6743421,44.9,0.16
1,4,192,1017,317,9882-41,9882-34,progeny,10X-317-036,M,1,345,20.17152908,39.29320826,25.85789707,1.715605148,42.7,35.51990379,29,8.821428571,18.96736565,0.1201,16.96,9.87,2.37,20.54,141.2156536,56.1,0.19
1,4,193,1018,82,94006,94001,progeny,12X-082-080,M,2,370,19.63109248,41.16899154,24.82887425,1.329657255,38.8,38.15200887,24,8.625,16.95674635,0.1819,25.28,11.21,2.79,27.89,138.9774601,43.6,NA
1,4,195,1020,317,9882-41,9882-34,progeny,10X-317-017,F,2,353,20.22705591,41.54287453,24.58485594,1.308186825,29.5,45.93605982,18,9.888888889,15.59800753,0.2286,28.37,12.74,2.78,27.91,124.1032371,53,0
1,4,198,1023,317,9882-41,9882-34,progeny,11X-317-236,F,2,312,19.05995353,41.99577362,25.31184249,1.515514394,31.1,44.4231539,23,8.130434783,13.20254313,0.1444,17.12,9.15,2.19,19.51,118.5595568,57.3,0.14
1,4,199,1024,317,9882-41,9882-34,progeny,10X-317-178,M,2,309,19.45851624,42.44905808,24.16148098,1.438695836,30.5,44.98120834,23,8.47826087,14.20785278,0.1268,17.03,10.16,2.1,24.42,134.3059937,49.2,0.05
1,4,209,1034,317,9882-41,9882-34,progeny,10X-317-084,F,1,323,19.05547999,41.9136764,24.83363226,1.433519109,30.1,45.35939437,19,9.631578947,15.04037483,0.2163,28.92,11.58,3.23,29.68,133.70319,56.4,0.06
1,4,210,1035,317,9882-41,9882-34,progeny,11X-317-280,M,1,337,18.74050658,41.31101849,25.08117765,1.84718829,26,49.53521226,21,8.619047619,13.26537498,0.085,12.37,8.24,1.76,30.08,145.5294118,49,0
1,4,211,1036,317,9882-41,9882-34,progeny,11X-317-121,M,1,280,19.4480805,41.5110133,24.32679512,1.173701061,22.4,53.68753101,9,7.333333333,3.94269878,0.069,10.73,7.18,1.8,28.47,155.5072464,56.5,0.11
1,4,212,1037,82,94006,94001,progeny,12X-082-085,F,2,305,19.5729252,40.75458399,24.87093491,1.355437873,41,36.62765261,27,9.148148148,20.22400271,0.16,22.48,9.97,2.87,56.74,140.5,56.7,NA
1,4,214,1039,317,9882-41,9882-34,progeny,11X-317-267,F,1,324,19.44452108,40.8795382,24.99426731,1.353001125,42,35.9689282,34,8.323529412,20.36537438,0.1745,23.01,11.58,2.48,24.73,131.8624642,53.7,0.25
